Date,RT1,TA,SR,Wv_avg
2020/08/09 06:00:00,24.189,20.55713,0.05597,0.32539
2020/08/09 06:05:00,24.06,20.45899,0.2249,0
2020/08/09 06:10:00,23.99,20.39551,0.64481,0
2020/08/09 06:15:00,23.924,20.47071,1.48352,0
2020/08/09 06:20:00,23.86,20.55078,2.4126,0
2020/08/09 06:25:00,23.787,20.48682,3.64044,0
2020/08/09 06:30:00,23.695,20.41406,4.6311,0
2020/08/09 06:35:00,23.659,20.30908,7.40418,0
2020/08/09 06:40:00,23.538,20.34473,10.66016,0
2020/08/09 06:45:00,23.463,20.39893,14.43872,0
2020/08/09 06:50:00,23.45,20.43408,32.04102,0.10668
2020/08/09 06:55:00,23.384,20.60352,48.417,0.06652
2020/08/09 07:00:00,23.406,20.59326,60.06544,0.00799
2020/08/09 07:05:00,23.388,20.66748,72.62891,0
2020/08/09 07:10:00,23.448,20.95996,85.91211,0
2020/08/09 07:15:00,23.556,21.21778,99.44727,0
2020/08/09 07:20:00,23.706,21.58496,113.94922,0
2020/08/09 07:25:00,23.849,22.03272,128.64063,0
2020/08/09 07:30:00,24.039,22.74219,142.59766,0
2020/08/09 07:35:00,24.29,22.7461,161.19141,0
2020/08/09 07:40:00,24.491,23.13868,176.16406,0
2020/08/09 07:45:00,24.706,23.40674,192.4375,0
2020/08/09 07:50:00,25.021,23.70508,211.10156,0
2020/08/09 07:55:00,25.244,23.94434,229.07032,0.01864
2020/08/09 08:00:00,25.535,24.03662,245.42578,0
2020/08/09 08:05:00,25.797,24.12842,262.99218,0
2020/08/09 08:10:00,26.14,24.3125,282.09376,0.00536
2020/08/09 08:15:00,26.393,24.2627,301.11718,0.06924
2020/08/09 08:20:00,26.7,24.21875,319.75,0.1334
2020/08/09 08:25:00,27.039,24.67041,339.19532,0.0319
2020/08/09 08:30:00,27.387,25.32373,357.83592,1.06E-05
2020/08/09 08:35:00,27.776,25.68311,376.47656,0.336
2020/08/09 08:40:00,28.139,25.64307,361.90624,0.45856
2020/08/09 08:45:00,28.537,25.68116,341.14064,0.34138
2020/08/09 08:50:00,28.865,25.98096,381.94532,0.36809
2020/08/09 08:55:00,29.181,26.79493,442.85156,0.25989
2020/08/09 09:00:00,29.538,27.07373,460.875,0.39464
2020/08/09 09:05:00,29.965,27.70362,477.31252,0.17326
2020/08/09 09:10:00,30.417,27.85352,471.35156,0.24541
2020/08/09 09:15:00,30.836,27.88037,513.67188,0.57062
2020/08/09 09:20:00,31.241,28.04444,531.76564,0.16264
2020/08/09 09:25:00,31.65,28.11231,548.95312,0.16575
2020/08/09 09:30:00,32.161,28.79932,565.76564,0.08262
2020/08/09 09:35:00,32.552,29.14307,583.84376,0.22145
2020/08/09 09:40:00,33.022,28.71973,604.28124,0.39467
2020/08/09 09:45:00,33.368,29.01416,619.85936,0.29878
2020/08/09 09:50:00,33.834,28.81397,614.45312,0.39446
2020/08/09 09:55:00,34.313,29.33204,622.125,0.46936
2020/08/09 10:00:00,34.679,28.55762,639.78124,0.5453
2020/08/09 10:05:00,35.137,29.21631,661.39064,0.52516
2020/08/09 10:10:00,35.599,29.87256,666.14064,0.3334
2020/08/09 10:15:00,36.049,29.4292,617.68752,0.48529
2020/08/09 10:20:00,36.43,29.32715,638.65624,0.43192
2020/08/09 10:25:00,36.954,30.74805,742.0156,0.23465
