Point,X,Y,Z
A1,0.000,0.500,0.000
A2,-0.062,0.500,0.000
A3,-0.062,0.500,0.000
A4,-0.063,0.500,0.001
A5,-0.063,0.500,0.008
A6,-0.062,0.500,0.009
A7,-0.061,0.500,0.010
A8,-0.020,0.500,0.020
A9,-0.014,0.500,0.026
A10,-0.009,0.500,0.033
A11,-0.007,0.500,0.041
A12,-0.007,0.500,0.048
A13,-0.007,0.500,0.063
A14,-0.007,0.500,0.078
A15,-0.007,0.500,0.083
A16,-0.007,0.500,0.089
A17,-0.008,0.500,0.095
A18,-0.010,0.500,0.100
A19,-0.011,0.500,0.102
A20,-0.014,0.500,0.104
A21,-0.032,0.500,0.108
A22,-0.033,0.500,0.109
A23,-0.033,0.500,0.131
A24,-0.030,0.500,0.139
A25,-0.022,0.500,0.144
A26,-0.016,0.500,0.144
A27,-0.009,0.500,0.145
A28,-0.005,0.500,0.145
A29,0.000,0.500,0.145
A30,0.005,0.500,0.145
A31,0.009,0.500,0.145
A32,0.016,0.500,0.144
A33,0.022,0.500,0.144
A34,0.030,0.500,0.139
A35,0.033,0.500,0.131
A36,0.033,0.500,0.109
A37,0.032,0.500,0.108
A38,0.014,0.500,0.104
A39,0.011,0.500,0.102
A40,0.010,0.500,0.100
A41,0.008,0.500,0.095
A42,0.007,0.500,0.089
A43,0.007,0.500,0.083
A44,0.007,0.500,0.078
A45,0.007,0.500,0.063
A46,0.007,0.500,0.048
A47,0.007,0.500,0.041
A48,0.009,0.500,0.033
A49,0.014,0.500,0.026
A50,0.020,0.500,0.020
A51,0.061,0.500,0.010
A52,0.062,0.500,0.009
A53,0.063,0.500,0.008
A54,0.063,0.500,0.001
A55,0.062,0.500,0.000
A56,0.062,0.500,0.000
B1,0.000,-0.500,0.000
B2,-0.062,-0.500,0.000
B3,-0.062,-0.500,0.000
B4,-0.063,-0.500,0.001
B5,-0.063,-0.500,0.008
B6,-0.062,-0.500,0.009
B7,-0.061,-0.500,0.010
B8,-0.020,-0.500,0.020
B9,-0.014,-0.500,0.026
B10,-0.009,-0.500,0.033
B11,-0.007,-0.500,0.041
B12,-0.007,-0.500,0.048
B13,-0.007,-0.500,0.063
B14,-0.007,-0.500,0.078
B15,-0.007,-0.500,0.083
B16,-0.007,-0.500,0.089
B17,-0.008,-0.500,0.095
B18,-0.010,-0.500,0.100
B19,-0.011,-0.500,0.102
B20,-0.014,-0.500,0.104
B21,-0.032,-0.500,0.108
B22,-0.033,-0.500,0.109
B23,-0.033,-0.500,0.131
B24,-0.030,-0.500,0.139
B25,-0.022,-0.500,0.144
B26,-0.016,-0.500,0.144
B27,-0.009,-0.500,0.145
B28,-0.005,-0.500,0.145
B29,0.000,-0.500,0.145
B30,0.005,-0.500,0.145
B31,0.009,-0.500,0.145
B32,0.016,-0.500,0.144
B33,0.022,-0.500,0.144
B34,0.030,-0.500,0.139
B35,0.033,-0.500,0.131
B36,0.033,-0.500,0.109
B37,0.032,-0.500,0.108
B38,0.014,-0.500,0.104
B39,0.011,-0.500,0.102
B40,0.010,-0.500,0.100
B41,0.008,-0.500,0.095
B42,0.007,-0.500,0.089
B43,0.007,-0.500,0.083
B44,0.007,-0.500,0.078
B45,0.007,-0.500,0.063
B46,0.007,-0.500,0.048
B47,0.007,-0.500,0.041
B48,0.009,-0.500,0.033
B49,0.014,-0.500,0.026
B50,0.020,-0.500,0.020
B51,0.061,-0.500,0.010
B52,0.062,-0.500,0.009
B53,0.063,-0.500,0.008
B54,0.063,-0.500,0.001
B55,0.062,-0.500,0.000
B56,0.062,-0.500,0.000
