Point,X,Y,Z
A1,0.000,0.500,0.000
A2,-0.055,0.500,0.000
A3,-0.057,0.500,0.001
A4,-0.058,0.500,0.003
A5,-0.058,0.500,0.017
A6,-0.057,0.500,0.019
A7,-0.055,0.500,0.021
A8,-0.045,0.500,0.023
A9,-0.035,0.500,0.030
A10,-0.031,0.500,0.041
A11,-0.031,0.500,0.079
A12,-0.033,0.500,0.087
A13,-0.039,0.500,0.094
A14,-0.040,0.500,0.097
A15,-0.039,0.500,0.119
A16,-0.036,0.500,0.127
A17,-0.029,0.500,0.132
A18,-0.021,0.500,0.133
A19,-0.013,0.500,0.134
A20,-0.008,0.500,0.134
A21,-0.003,0.500,0.134
A22,0.002,0.500,0.134
A23,0.008,0.500,0.134
A24,0.015,0.500,0.133
A25,0.023,0.500,0.132
A26,0.030,0.500,0.127
A27,0.033,0.500,0.120
A28,0.034,0.500,0.097
A29,0.032,0.500,0.094
A30,0.026,0.500,0.091
A31,0.017,0.500,0.085
A32,0.013,0.500,0.074
A33,0.013,0.500,0.042
A34,0.018,0.500,0.029
A35,0.031,0.500,0.023
A36,0.079,0.500,0.020
A37,0.081,0.500,0.019
A38,0.082,0.500,0.016
A39,0.082,0.500,0.003
A40,0.081,0.500,0.001
A41,0.079,0.500,0.000
B1,0.000,-0.500,0.000
B2,-0.055,-0.500,0.000
B3,-0.057,-0.500,0.001
B4,-0.058,-0.500,0.003
B5,-0.058,-0.500,0.017
B6,-0.057,-0.500,0.019
B7,-0.055,-0.500,0.021
B8,-0.045,-0.500,0.023
B9,-0.035,-0.500,0.030
B10,-0.031,-0.500,0.041
B11,-0.031,-0.500,0.079
B12,-0.033,-0.500,0.087
B13,-0.039,-0.500,0.094
B14,-0.040,-0.500,0.097
B15,-0.039,-0.500,0.119
B16,-0.036,-0.500,0.127
B17,-0.029,-0.500,0.132
B18,-0.021,-0.500,0.133
B19,-0.013,-0.500,0.134
B20,-0.008,-0.500,0.134
B21,-0.003,-0.500,0.134
B22,0.002,-0.500,0.134
B23,0.008,-0.500,0.134
B24,0.015,-0.500,0.133
B25,0.023,-0.500,0.132
B26,0.030,-0.500,0.127
B27,0.033,-0.500,0.120
B28,0.034,-0.500,0.097
B29,0.032,-0.500,0.094
B30,0.026,-0.500,0.091
B31,0.017,-0.500,0.085
B32,0.013,-0.500,0.074
B33,0.013,-0.500,0.042
B34,0.018,-0.500,0.029
B35,0.031,-0.500,0.023
B36,0.079,-0.500,0.020
B37,0.081,-0.500,0.019
B38,0.082,-0.500,0.016
B39,0.082,-0.500,0.003
B40,0.081,-0.500,0.001
B41,0.079,-0.500,0.000
